views,likes,dislikes,comments
2095828,132239,1989,17518
4477587,292837,4123,36391
960747,31810,668,5335
1496225,16116,236,605
343168,10172,666,2146
549374,16832,248,3579
348841,27089,162,2099
370827,12150,325,2352
653398,27773,2778,3976
116676,4324,136,618
721066,30576,1251,6114
182330,14901,55,1442
2340941,200598,6018,7575
172720,10736,236,3813
900014,3273,1189,721
25863,32,3,13
9368,75,15,28
146900,1377,52,128
5029621,39098,989,1596
210478,905,176,85
320964,8069,285,717
281350,17626,230,3352
261603,4276,2148,0
738561,2519,224,1014
5541767,263919,1502,10706
319817,1796,562,1065
469779,2560,214,2084
150974,220,65,201
70448,1538,25,315
432721,14053,576,1161
415387,1010,90,655
203332,3391,139,1034
756959,9976,262,645
70463,5992,44,402
351181,2206,453,540
387221,2159,1214,711
231745,10958,215,1433
87890,577,48,149
170707,1152,178,166
211868,5610,853,912
496192,1503,443,1020
190106,6646,510,756
778516,32322,382,16710
117022,466,135,24
174130,4565,292,621
1842393,99086,1339,11800
403223,2344,251,535
248993,10984,136,2063
122282,0,0,0
294947,16263,294,1678
226051,1376,112,144
632747,4330,2183,2869
157289,1895,187,422
318474,1857,2450,1165
1529652,63996,896,4697
971117,50402,1526,10834
853635,43655,213,2252
555499,23818,270,1112
754502,15082,778,2285
1025278,14065,593,1825
459497,14281,1860,3764
2508912,144816,2262,18893
863116,20518,1030,4272
172461,5077,57,587
271606,22787,179,2964
1231992,36466,824,6156
111491,62,18,36
391049,5939,106,385
4972464,307330,4581,37509
303877,1658,287,201
352054,11598,118,948
1001985,36944,506,3260
404217,2295,328,764
70987,889,6,380
89444,753,45,666
166512,3165,138,1021
15431,267,2,13
668826,26926,401,4650
136789,295,13,37
334598,15069,154,2106
418230,29932,186,2275
96334,483,40,103
104643,259,84,143
347848,10046,84,433
391642,4378,371,1553
1544710,12417,803,2186
16825,102,23,36
815179,32264,3313,3487
109639,722,139,34
45662,219,57,63
1013926,43638,378,4737
339499,3298,438,1070
643350,33747,443,4054
203345,573,133,804
102591,1766,33,362
5792827,48443,1230,1835
86797,1668,5,67
250174,2671,126,574
474689,7061,368,1202
289855,1924,176,287
988066,31614,761,3424
790665,32185,1318,5428
233803,12837,297,4073
163926,1118,150,390
3621389,141682,1289,8127
2918106,93040,1765,6493
1470628,64893,2282,14080
788000,10315,160,1288
260982,474,26,85
1088036,51347,256,2707
748481,20756,3054,5762
1559003,29898,884,1838
313325,8762,116,3110
964813,17124,1083,2662
611039,25022,291,1168
240897,13088,194,1644
11914,31,19,13
291634,1531,295,185
539148,8033,432,3491
124458,11571,354,2587
564551,3241,1123,845
40508,495,19,0
254436,4331,96,446
72049,721,43,176
227565,16484,725,1912
864235,51588,327,10258
411960,20809,448,7978
153736,1387,18,516
627820,25647,982,7047
2584165,147110,2305,19313
139558,2405,26,315
65122,287,45,32
103858,3639,35,391
338908,25407,228,3184
202125,6055,50,719
700691,3262,510,1065
45546,143,36,92
936130,21642,1202,2877
574778,7517,154,515
154151,576,152,27
231961,5803,95,687
121133,809,131,50
1300267,13055,871,1811
73231,48,8,43
46381,212,28,47
110153,4929,86,610
296324,1962,216,390
1283032,37562,855,5132
314071,4216,284,1778
5085080,311511,4746,34278
70493,584,125,111
180487,1242,32,372
18621,29,15,27
955180,203,27,82
289277,2909,235,1109
2008095,64453,646,6034
196775,5888,77,683
164870,1693,39,160
90299,1794,12,146
294237,5750,89,364
1275537,43760,653,3982
267039,3852,70,397
4722974,119111,3782,6651
2585193,40778,3499,8834
2935330,281104,2679,16009
791834,10359,228,749
3300683,98182,1914,6794
304193,567,43,120
2682800,41046,1527,2748
1577533,67286,2451,12571
324544,10121,312,1094
334497,12594,622,588
313793,20657,226,10869
141104,8572,99,1590
533948,12136,169,3638
136041,6228,93,815
400148,18713,320,2142
1159690,53363,279,2910
26967,91,98,38
177515,5487,94,1740
304673,20116,715,4331
137072,1661,12,277
529568,2366,199,1137
134235,13802,1114,5453
717731,27558,893,6070
1532904,47589,3304,3848
772213,10074,598,4195
109878,10381,84,2275
320851,12241,236,1174
641309,25588,300,1073
111329,4145,96,297
185781,2899,34,420
68352,1028,58,89
41504,36,13,28
276824,1507,309,139
132088,7346,328,1260
169967,2164,47,253
406851,23981,1291,2855
867802,23523,3440,5936
704337,28123,724,10377
277980,12183,116,1934
1901318,17182,1184,2133
1693011,84669,810,14183
180342,573,121,61
118097,3774,168,1419
279979,7099,62,787
187691,1136,104,240
160816,11380,1403,3880
28632,323,9,0
41065,408,43,258
154668,4792,50,467
51461,2299,47,137
293017,1742,224,638
2656622,149105,2339,19644
94640,2024,394,1385
325333,2750,307,383
317426,2784,25,218
39133,613,3,15
138609,498,80,617
546892,5855,152,558
217795,2806,91,235
296049,839,234,45
647820,8122,168,530
8072982,174945,6413,9529
7797259,94548,8233,17122
1291361,16081,1368,2877
625022,35886,345,3322
118429,383,112,143
456491,22922,195,1521
215746,1206,60,618
4716036,395289,3925,19741
54690,979,24,672
295577,6456,193,504
271865,14515,75,1818
561843,29344,383,14205
114688,3761,60,536
296595,23688,2609,9080
370622,22356,846,4902
241436,11523,141,2065
61667,44,14,22
102540,9066,15,738
582019,17558,1212,933
3447230,100566,1959,6954
32438,116,149,50
323501,611,47,108
1323611,4193,445,1667
256518,5025,102,1607
324300,15246,611,3894
3058843,44741,1645,2858
156809,3475,140,582
181851,1490,548,1474
292011,13976,1785,1568
53164,3459,24,901
186849,1822,128,147
303417,7756,161,2026
64563,258,43,201
1641496,68544,2529,12577
420629,1751,384,158
198605,705,123,66
249592,4464,214,1859
94699,616,78,387
114743,1515,220,854
432537,19751,348,2209
203806,11218,63,602
35741,470,39,121
198917,5795,141,413
218191,10057,434,1617
348532,4246,918,2495
2812994,61589,4613,4822
147835,4963,74,230
2251398,19574,1351,2264
246852,2638,56,157
1568291,97313,2685,0
98671,4776,132,476
436560,14900,281,1341
19484,0,0,3
146034,510,159,23
392494,15477,157,2210
914063,31150,1471,9449
304373,1495,182,281
138544,2015,222,662
99726,735,22,210
58678,213,11,7
49018,3724,212,1044
149322,12287,111,2568
438492,20384,1500,2674
102357,7878,23,527
157868,527,102,918
1129476,17163,767,1225
11072585,119373,10400,20757
9856767,201288,7805,10718
794755,13428,258,1859
1280763,54022,586,4521
555519,30697,550,5820
704226,11546,325,1190
212930,2074,68,1362
484046,1982,130,922
640614,23088,146,2972
64980,41,9,12
580406,3710,1559,3598
672764,29213,261,1960
413551,3859,72,135
377230,1987,585,236
1339902,69723,557,7644
161110,717,75,902
196691,11326,261,3265
1828173,9404,1030,3444
128884,399,126,163
291124,5504,483,776
5514929,439190,4424,21011
137346,4207,1729,1128
174834,555,57,434
484697,30656,3909,11706
388965,7747,241,656
752893,34496,491,16002
131218,3836,34,270
614411,23213,960,5548
403498,6532,136,1716
185171,1967,347,1121
205778,689,112,361
108146,3563,74,727
194792,1784,201,319
245419,905,171,82
204945,1569,157,389
140665,529,147,19
72797,384,33,17
310614,7560,100,1241
566129,20474,3469,2324
199171,3809,173,617
364279,4339,574,1926
241973,1953,91,265
95304,4923,58,1159
83227,2233,266,0
405877,23250,887,5267
153305,4372,80,580
169321,6999,107,1189
483363,22777,394,1064
226965,12828,116,1481
54654,418,96,115
204859,1603,113,657
259043,1766,99,645
567182,5387,401,583
163776,1103,557,435
